# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkForwardedMethods

# Warmup Iteration  16: 0.172 ops/ns
# Warmup Iteration  17: 0.172 ops/ns
# Warmup Iteration  18: 0.171 ops/ns
# Warmup Iteration  19: 0.172 ops/ns
# Warmup Iteration  20: 0.171 ops/ns
Iteration   1: 0.172 ops/ns
Iteration   2: 0.172 ops/ns
Iteration   3: 0.171 ops/ns
Iteration   4: 0.169 ops/ns
Iteration   5: 0.171 ops/ns
Iteration   6: 0.171 ops/ns
Iteration   7: 0.170 ops/ns
Iteration   8: 0.171 ops/ns
Iteration   9: 0.171 ops/ns
Iteration  10: 0.169 ops/ns
Iteration  11: 0.171 ops/ns
Iteration  12: 0.172 ops/ns
Iteration  13: 0.169 ops/ns
Iteration  14: 0.171 ops/ns
Iteration  15: 0.171 ops/ns
Iteration  16: 0.168 ops/ns
Iteration  17: 0.172 ops/ns
Iteration  18: 0.172 ops/ns
Iteration  19: 0.169 ops/ns
Iteration  20: 0.172 ops/ns

# Run progress: 4.44% complete, ETA 00:58:00
# Fork: 5 of 10
# Warmup Iteration   1: 0.123 ops/ns
# Warmup Iteration   2: 0.124 ops/ns
# Warmup Iteration   3: 0.150 ops/ns
# Warmup Iteration   4: 0.151 ops/ns
# Warmup Iteration   5: 0.152 ops/ns
# Warmup Iteration   6: 0.152 ops/ns
# Warmup Iteration   7: 0.152 ops/ns
# Warmup Iteration   8: 0.150 ops/ns
# Warmup Iteration   9: 0.151 ops/ns
# Warmup Iteration  10: 0.158 ops/ns
# Warmup Iteration  11: 0.166 ops/ns
# Warmup Iteration  12: 0.166 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.167 ops/ns
# Warmup Iteration  15: 0.166 ops/ns
# Warmup Iteration  16: 0.166 ops/ns
# Warmup Iteration  17: 0.167 ops/ns
# Warmup Iteration  18: 0.161 ops/ns
# Warmup Iteration  19: 0.160 ops/ns
# Warmup Iteration  20: 0.167 ops/ns
Iteration   1: 0.167 ops/ns
Iteration   2: 0.166 ops/ns
Iteration   3: 0.166 ops/ns
Iteration   4: 0.166 ops/ns
Iteration   5: 0.167 ops/ns
Iteration   6: 0.167 ops/ns
Iteration   7: 0.167 ops/ns
Iteration   8: 0.168 ops/ns
Iteration   9: 0.167 ops/ns
Iteration  10: 0.167 ops/ns
Iteration  11: 0.167 ops/ns
Iteration  12: 0.167 ops/ns
Iteration  13: 0.161 ops/ns
Iteration  14: 0.151 ops/ns
Iteration  15: 0.153 ops/ns
Iteration  16: 0.150 ops/ns
Iteration  17: 0.151 ops/ns
Iteration  18: 0.151 ops/ns
Iteration  19: 0.150 ops/ns
Iteration  20: 0.167 ops/ns

# Run progress: 5.56% complete, ETA 00:57:20
# Fork: 6 of 10
# Warmup Iteration   1: 0.120 ops/ns
# Warmup Iteration   2: 0.120 ops/ns
# Warmup Iteration   3: 0.149 ops/ns
# Warmup Iteration   4: 0.143 ops/ns
# Warmup Iteration   5: 0.148 ops/ns
# Warmup Iteration   6: 0.147 ops/ns
# Warmup Iteration   7: 0.144 ops/ns
# Warmup Iteration   8: 0.145 ops/ns
# Warmup Iteration   9: 0.146 ops/ns
# Warmup Iteration  10: 0.146 ops/ns
# Warmup Iteration  11: 0.145 ops/ns
# Warmup Iteration  12: 0.148 ops/ns
# Warmup Iteration  13: 0.149 ops/ns
# Warmup Iteration  14: 0.147 ops/ns
# Warmup Iteration  15: 0.149 ops/ns
# Warmup Iteration  16: 0.148 ops/ns
# Warmup Iteration  17: 0.146 ops/ns
# Warmup Iteration  18: 0.149 ops/ns
# Warmup Iteration  19: 0.148 ops/ns
# Warmup Iteration  20: 0.149 ops/ns
Iteration   1: 0.150 ops/ns
Iteration   2: 0.149 ops/ns
Iteration   3: 0.153 ops/ns
Iteration   4: 0.156 ops/ns
Iteration   5: 0.153 ops/ns
Iteration   6: 0.154 ops/ns
Iteration   7: 0.152 ops/ns
Iteration   8: 0.152 ops/ns
Iteration   9: 0.150 ops/ns
Iteration  10: 0.151 ops/ns
Iteration  11: 0.149 ops/ns
Iteration  12: 0.151 ops/ns
Iteration  13: 0.149 ops/ns
Iteration  14: 0.156 ops/ns
Iteration  15: 0.153 ops/ns
Iteration  16: 0.156 ops/ns
Iteration  17: 0.156 ops/ns
Iteration  18: 0.154 ops/ns
Iteration  19: 0.156 ops/ns
Iteration  20: 0.157 ops/ns

# Run progress: 6.67% complete, ETA 00:56:39
# Fork: 7 of 10
# Warmup Iteration   1: 0.129 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.172 ops/ns
# Warmup Iteration   4: 0.172 ops/ns
# Warmup Iteration   5: 0.172 ops/ns
# Warmup Iteration   6: 0.172 ops/ns
# Warmup Iteration   7: 0.168 ops/ns
# Warmup Iteration   8: 0.169 ops/ns
# Warmup Iteration   9: 0.168 ops/ns
# Warmup Iteration  10: 0.171 ops/ns
# Warmup Iteration  11: 0.172 ops/ns
# Warmup Iteration  12: 0.171 ops/ns
# Warmup Iteration  13: 0.172 ops/ns
# Warmup Iteration  14: 0.171 ops/ns
# Warmup Iteration  15: 0.168 ops/ns
# Warmup Iteration  16: 0.172 ops/ns
# Warmup Iteration  17: 0.170 ops/ns
# Warmup Iteration  18: 0.172 ops/ns
# Warmup Iteration  19: 0.173 ops/ns
# Warmup Iteration  20: 0.173 ops/ns
Iteration   1: 0.172 ops/ns
Iteration   2: 0.166 ops/ns
Iteration   3: 0.171 ops/ns
Iteration   4: 0.172 ops/ns
Iteration   5: 0.172 ops/ns
Iteration   6: 0.172 ops/ns
Iteration   7: 0.172 ops/ns
Iteration   8: 0.171 ops/ns
Iteration   9: 0.171 ops/ns
Iteration  10: 0.171 ops/ns
Iteration  11: 0.171 ops/ns
Iteration  12: 0.172 ops/ns
Iteration  13: 0.173 ops/ns
Iteration  14: 0.170 ops/ns
Iteration  15: 0.171 ops/ns
Iteration  16: 0.172 ops/ns
Iteration  17: 0.173 ops/ns
Iteration  18: 0.172 ops/ns
Iteration  19: 0.170 ops/ns
Iteration  20: 0.174 ops/ns

# Run progress: 7.78% complete, ETA 00:55:59
# Fork: 8 of 10
# Warmup Iteration   1: 0.132 ops/ns
# Warmup Iteration   2: 0.163 ops/ns
# Warmup Iteration   3: 0.133 ops/ns
# Warmup Iteration   4: 0.165 ops/ns
# Warmup Iteration   5: 0.164 ops/ns
# Warmup Iteration   6: 0.165 ops/ns
# Warmup Iteration   7: 0.165 ops/ns
# Warmup Iteration   8: 0.166 ops/ns
# Warmup Iteration   9: 0.164 ops/ns
# Warmup Iteration  10: 0.164 ops/ns
# Warmup Iteration  11: 0.162 ops/ns
# Warmup Iteration  12: 0.162 ops/ns
# Warmup Iteration  13: 0.164 ops/ns
# Warmup Iteration  14: 0.163 ops/ns
# Warmup Iteration  15: 0.162 ops/ns
# Warmup Iteration  16: 0.165 ops/ns
# Warmup Iteration  17: 0.165 ops/ns
# Warmup Iteration  18: 0.164 ops/ns
# Warmup Iteration  19: 0.165 ops/ns
# Warmup Iteration  20: 0.163 ops/ns
Iteration   1: 0.166 ops/ns
Iteration   2: 0.166 ops/ns
Iteration   3: 0.166 ops/ns
Iteration   4: 0.164 ops/ns
Iteration   5: 0.170 ops/ns
Iteration   6: 0.168 ops/ns
Iteration   7: 0.168 ops/ns
Iteration   8: 0.169 ops/ns
Iteration   9: 0.168 ops/ns
Iteration  10: 0.169 ops/ns
Iteration  11: 0.164 ops/ns
Iteration  12: 0.159 ops/ns
Iteration  13: 0.168 ops/ns
Iteration  14: 0.168 ops/ns
Iteration  15: 0.169 ops/ns
Iteration  16: 0.169 ops/ns
Iteration  17: 0.168 ops/ns
Iteration  18: 0.167 ops/ns
Iteration  19: 0.167 ops/ns
Iteration  20: 0.166 ops/ns

# Run progress: 8.89% complete, ETA 00:55:19
# Fork: 9 of 10
# Warmup Iteration   1: 0.135 ops/ns
# Warmup Iteration   2: 0.136 ops/ns
# Warmup Iteration   3: 0.172 ops/ns
# Warmup Iteration   4: 0.169 ops/ns
# Warmup Iteration   5: 0.172 ops/ns
# Warmup Iteration   6: 0.172 ops/ns
# Warmup Iteration   7: 0.172 ops/ns
# Warmup Iteration   8: 0.172 ops/ns
# Warmup Iteration   9: 0.171 ops/ns
# Warmup Iteration  10: 0.171 ops/ns
# Warmup Iteration  11: 0.173 ops/ns
# Warmup Iteration  12: 0.169 ops/ns
# Warmup Iteration  13: 0.166 ops/ns
# Warmup Iteration  14: 0.171 ops/ns
# Warmup Iteration  15: 0.172 ops/ns
# Warmup Iteration  16: 0.169 ops/ns
# Warmup Iteration  17: 0.172 ops/ns
# Warmup Iteration  18: 0.173 ops/ns
# Warmup Iteration  19: 0.166 ops/ns
# Warmup Iteration  20: 0.171 ops/ns
Iteration   1: 0.171 ops/ns
Iteration   2: 0.171 ops/ns
Iteration   3: 0.168 ops/ns
Iteration   4: 0.171 ops/ns
Iteration   5: 0.171 ops/ns
Iteration   6: 0.171 ops/ns
Iteration   7: 0.165 ops/ns
Iteration   8: 0.162 ops/ns
Iteration   9: 0.173 ops/ns
Iteration  10: 0.172 ops/ns
Iteration  11: 0.172 ops/ns
Iteration  12: 0.172 ops/ns
Iteration  13: 0.172 ops/ns
Iteration  14: 0.172 ops/ns
Iteration  15: 0.169 ops/ns
Iteration  16: 0.170 ops/ns
Iteration  17: 0.171 ops/ns
Iteration  18: 0.170 ops/ns
Iteration  19: 0.172 ops/ns
Iteration  20: 0.173 ops/ns

# Run progress: 10.00% complete, ETA 00:54:38
# Fork: 10 of 10
# Warmup Iteration   1: 0.133 ops/ns
# Warmup Iteration   2: 0.133 ops/ns
# Warmup Iteration   3: 0.167 ops/ns
# Warmup Iteration   4: 0.167 ops/ns
# Warmup Iteration   5: 0.167 ops/ns
# Warmup Iteration   6: 0.167 ops/ns
# Warmup Iteration   7: 0.167 ops/ns
# Warmup Iteration   8: 0.167 ops/ns
# Warmup Iteration   9: 0.167 ops/ns
# Warmup Iteration  10: 0.167 ops/ns
# Warmup Iteration  11: 0.167 ops/ns
# Warmup Iteration  12: 0.167 ops/ns
# Warmup Iteration  13: 0.167 ops/ns
# Warmup Iteration  14: 0.167 ops/ns
# Warmup Iteration  15: 0.167 ops/ns
# Warmup Iteration  16: 0.167 ops/ns
# Warmup Iteration  17: 0.167 ops/ns
# Warmup Iteration  18: 0.168 ops/ns
# Warmup Iteration  19: 0.167 ops/ns
# Warmup Iteration  20: 0.167 ops/ns
Iteration   1: 0.167 ops/ns
Iteration   2: 0.167 ops/ns
Iteration   3: 0.167 ops/ns
Iteration   4: 0.167 ops/ns
Iteration   5: 0.167 ops/ns
Iteration   6: 0.167 ops/ns
Iteration   7: 0.167 ops/ns
Iteration   8: 0.167 ops/ns
Iteration   9: 0.167 ops/ns
Iteration  10: 0.167 ops/ns
Iteration  11: 0.167 ops/ns
Iteration  12: 0.167 ops/ns
Iteration  13: 0.167 ops/ns
Iteration  14: 0.167 ops/ns
Iteration  15: 0.167 ops/ns
Iteration  16: 0.167 ops/ns
Iteration  17: 0.167 ops/ns
Iteration  18: 0.167 ops/ns
Iteration  19: 0.167 ops/ns
Iteration  20: 0.167 ops/ns


Result "nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkForwardedMethods":
  0.166 ±(99.9%) 0.001 ops/ns [Average]
  (min, avg, max) = (0.149, 0.166, 0.174), stdev = 0.006
  CI (99.9%): [0.164, 0.167] (assumes normal distribution)


# JMH version: 1.19
# VM version: JDK 15, VM 15+36-Ubuntu-1
# VM invoker: /usr/lib/jvm/java-15-openjdk-amd64/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: nl.pim16aap2.ProtocolLibBenchmark.BenchmarkRunner.benchmarkGetProxyPlayer

# Run progress: 11.11% complete, ETA 00:53:58
# Fork: 1 of 10
# Warmup Iteration   1: 0.353 ops/ns
# Warmup Iteration   2: 0.152 ops/ns
# Warmup Iteration   3: 0.196 ops/ns
# Warmup Iteration   4: 0.206 ops/ns
# Warmup Iteration   5: 0.204 ops/ns
# Warmup Iteration   6: 0.205 ops/ns
# Warmup Iteration   7: 0.204 ops/ns
# Warmup Iteration   8: 0.205 ops/ns
# Warmup Iteration   9: 0.201 ops/ns
# Warmup Iteration  10: 0.203 ops/ns
# Warmup Iteration  11: 0.199 ops/ns
# Warmup Iteration  12: 0.200 ops/ns
# Warmup Iteration  13: 0.205 ops/ns
# Warmup Iteration  14: 0.205 ops/ns
# Warmup Iteration  15: 0.205 ops/ns
# Warmup Iteration  16: 0.199 ops/ns
# Warmup Iteration  17: 0.203 ops/ns
# Warmup Iteration  18: 0.205 ops/ns
# Warmup Iteration  19: 0.204 ops/ns
# Warmup Iteration  20: 0.204 ops/ns
Iteration   1: 0.205 ops/ns
Iteration   2: 0.204 ops/ns
Iteration   3: 0.202 ops/ns
Iteration   4: 0.204 ops/ns
Iteration   5: 0.205 ops/ns
Iteration   6: 0.205 ops/ns
Iteration   7: 0.205 ops/ns
Iteration   8: 0.206 ops/ns
Iteration   9: 0.204 ops/ns
Iteration  10: 0.204 ops/ns
Iteration  11: 0.205 ops/ns
Iteration  12: 0.203 ops/ns
Iteration  13: 0.205 ops/ns
Iteration  14: 0.203 ops/ns
Iteration  15: 0.203 ops/ns
Iteration  16: 0.202 ops/ns
Iteration  17: 0.204 ops/ns
Iteration  18: 0.203 ops/ns
Iteration  19: 0.204 ops/ns
Iteration  20: 0.205 ops/ns

# Run progress: 12.22% complete, ETA 00:53:17
# Fork: 2 of 10
# Warmup Iteration   1: 0.339 ops/ns
# Warmup Iteration   2: 0.148 ops/ns
# Warmup Iteration   3: 0.190 ops/ns
# Warmup Iteration   4: 0.198 ops/ns
# Warmup Iteration   5: 0.197 ops/ns
# Warmup Iteration   6: 0.198 ops/ns
# Warmup Iteration   7: 0.199 ops/ns
# Warmup Iteration   8: 0.198 ops/ns
# Warmup Iteration   9: 0.197 ops/ns
# Warmup Iteration  10: 0.195 ops/ns
# Warmup Iteration  11: 0.198 ops/ns
# Warmup Iteration  12: 0.198 ops/ns
# Warmup Iteration  13: 0.197 ops/ns
# Warmup Iteration  14: 0.198 ops/ns
# Warmup Iteration  15: 0.198 ops/ns
# Warmup Iteration  16: 0.199 ops/ns
# Warmup Iteration  17: 0.198 ops/ns
# Warmup Iteration  18: 0.198 ops/ns
# Warmup Iteration  19: 0.189 ops/ns
# Warmup Iteration  20: 0.200 ops/ns
Iteration   1: 0.199 ops/ns
Iteration   2: 0.199 ops/ns
Iteration   3: 0.201 ops/ns
Iteration   4: 0.200 ops/ns
Iteration   5: 0.201 ops/ns
Iteration   6: 0.201 ops/ns
Iteration   7: 0.193 ops/ns
Iteration   8: 0.193 ops/ns
Iteration   9: 0.194 ops/ns
Iteration  10: 0.201 ops/ns
Iteration  11: 0.200 ops/ns
Iteration  12: 0.201 ops/ns
Iteration  13: 0.201 ops/ns
Iteration  14: 0.200 ops/ns
Iteration  15: 0.199 ops/ns
Iteration  16: 0.201 ops/ns
Iteration  17: 0.200 ops/ns
Iteration  18: 0.199 ops/ns
Iteration  19: 0.201 ops/ns
